,group_name,city,country,ratings,created_date,members,last_event,next_event,category,primary_topic,membership_fees,last_event_rsvp,next_event_rsvp
60,New Mexico Conscious Movies,Santa Fe,US,4.64,1383186329000,409,,,new age/spirituality,,0,,
61,Los Alamos Entrepreneurs' Network (LAEN),Los Alamos,US,4.69,1383675685000,66,,,career/business,,0,,
62,Art Santa Fe,Santa Fe,US,4.67,1385532197000,486,,,fine arts/culture,,0,,
63,Los Alamos Chamber FAN44,Los Alamos,US,0,1386092044000,6,,,career/business,,0,,
64,Santa Fe Moderate/Social Hiking,Santa Fe,US,4.81,1389374845000,886,,,outdoors/adventure,,0,,
65,Tien Lung Kung Fu of Santa Fe,Santa Fe,US,0,1391035849000,13,,,sports/recreation,,0,,
66,Loving More Chapter Santa Fe,Santa Fe,US,4.7,1391375352000,83,,,health/wellbeing,,0,,
67,Santa Fe Nonfiction Bookclub and MORE!,Santa Fe,US,4.83,1391796223000,56,,,education/learning,,0,,
68,Santa Fe Night Life Meetup,Santa Fe,US,0,1395491243000,37,,,community/environment,,0,,
69,Bollywood Club Invasion Dance Party - East Meets West,Santa Fe,US,0,1395491545000,12,,,dancing,,0,,
70,Santa Fe Spanish Language MeetUp,Santa Fe,US,4.89,1396962519000,33,,,language/ethnic identity,,0,,
71,Enthusiastic Equines - Clicker Training Horses,Santa Fe,US,5,1397596036000,44,,,pets/animals,,0,,
72,"Drumming for the Heart, Spirit, Body, and Mind",Santa Fe,US,5,1402264400000,109,,,music,,0,,
73,"Santa Fe Abraham Uplift! Abraham-Hicks, Law of Attraction",Santa Fe,US,5,1405608281000,71,,,health/wellbeing,,0,,
74,iMattered Memoirs of Santa Fe,Santa Fe,US,5,1405909375000,58,,,writing,,0,,
75,Santa Fe Leadership Meetup,Santa Fe,US,3.93,1407268039000,28,,,career/business,,0,,
76,Santa Fe 20's & 30's Social Meetup,Santa Fe,US,4.69,1408161699000,699,,,socializing,,0,,
77,Los Alamos Game Night,Los Alamos,US,4.5,1408761058000,96,,,games,,0,,
78,Santa Fe Horses for Healing Meetup,Santa Fe,US,0,1409148049000,25,,,community/environment,,0,,
79,The Wilderness Seekers,Cerrillos,US,4.98,1409682369000,502,,,outdoors/adventure,,0,,
80,Mindful Somatics Institute - & MOSI,Santa Fe,US,4.82,1409862752000,240,,,health/wellbeing,,0,,
81,Wednesday Night Tapping Group :: EFT in Santa Fe,Santa Fe,US,5,1410909022000,82,,,health/wellbeing,,0,,
82,Oneness Awakening Course,Santa Fe,US,5,1411072767000,14,,,new age/spirituality,,0,,
83,Santa Fe Area Single Lesbians over 50,Santa Fe,US,4.84,1411512156000,309,,,socializing,,0,,
84,Santa Fe Stargazing Meetup,Santa Fe,US,0,1413334613000,64,,,education/learning,,0,,
85,Santa Fe Pulpwood Queens,Santa Fe,US,0,1414012098000,4,,,book clubs,,0,,
86,"La Tierra Toastmasters Club of Santa Fe, NM",Santa Fe,US,5,1414205241000,52,,,career/business,,0,,
87,Santa Fe Lite/Social Hiking,Santa Fe,US,4.86,1414262796000,730,,,outdoors/adventure,,0,,
88,Northern New Mexico Biotech Meetup,Santa Fe,US,0,1415413076000,15,,,tech,,0,,
