,group_name,city,country,ratings,created_date,members,last_event,next_event,category,primary_topic,membership_fees
387,Paris MongoDB User Group,Paris,FR,4.41,1309880296000,1484,,,tech,,0
388,Django Paris,Paris,FR,4.63,1334477390000,559,,,tech,,0
389,"Paris.py (Python, Django & friends)",Paris,FR,4.51,1368792812000,1385,,,tech,,0
390,Paris Financial Engineering group,Paris,FR,4.66,1381828748000,460,,,tech,,0
391,Les Ateliers Python de l'AFPy au NUMA,Paris,FR,4.14,1392734327000,442,,,tech,,0
392,Ansible Paris,Paris,FR,4.55,1393321041000,734,,,tech,,0
393,Kaggle Paris Meetup,Paris,FR,4.68,1394224257000,530,,,tech,,0
394,(Paris (Emacs) Meetup),Paris,FR,4.65,1395758093000,146,,,tech,,0
395,:vim paris **/*,Paris,FR,4.68,1396444578000,396,,,tech,,0
396,"Big Data, Paris",Paris,FR,3.94,1413445746000,3059,,,tech,,0
397,Deep Learning Paris Meetup,Paris,FR,4.76,1414767317000,1601,,,tech,,0
398,Paris Odoo Community,Paris,FR,4,1421871589000,106,,,tech,,0
399,@Flask.route('/Paris'),Paris,FR,5,1422447854000,106,,,tech,,0
400,Code Class Paris,Paris,FR,4.29,1427233189000,336,,,tech,,0
401,PyLadies Paris,Paris,FR,4.83,1431721771000,148,,,tech,,0
402,"Datascience in Finance, Paris",Paris,FR,4.2,1435029660000,236,,,tech,,0
403,Paris TensorFlow Meetup,Paris,FR,0,1449154819000,135,,,tech,,0
404,FrenchData,Paris,FR,0,1454263529000,2,,,tech,,0
405,Dutch Python & Django User Group,Amsterdam,NL,4.53,1300868758000,517,,,tech,,0
406,Drinkalong !,Amsterdam,NL,4.5,1352398316000,88,,,tech,,0
407,UtrechtIncCommunity,Utrecht,NL,3.67,1358247094000,154,,,career/business,,0
408,Amsterdam Python Meetup Group,Amsterdam,NL,4.61,1370515503000,1231,,,tech,,0
409,PyLadies Amsterdam,Amsterdam,NL,4.63,1373485780000,225,,,tech,,0
410,Startupbootcamp Tech Talks,Amsterdam,NL,3.75,1384781848000,164,,,tech,,0
411,Leiden Python Meetup Group,Leiden,NL,0,1396876356000,29,,,tech,,0
412,DomCode,Utrecht,NL,4.67,1404134513000,836,,,tech,,0
413,Amsterdam SaltStack User Group,Amsterdam,NL,0,1428916119000,44,,,tech,,0
414,Amsterdam New Relic Meetup,Amsterdam,NL,4,1443205123000,59,,,tech,,0
415,Utrecht Python Meetup Group,Utrecht,NL,0,1444592158000,68,,,tech,,0
416,Big Data Developers in Amsterdam,Amsterdam,NL,4,1444995054000,304,,,tech,,0
417,OpenRisk Meetup,Amsterdam,NL,0,1447440343000,49,,,tech,,0
418,Predictive Analytics & Dato Amsterdam Meetup,Amsterdam,NL,0,1449818632000,78,,,tech,,0
419,PyData Amsterdam,Amsterdam,NL,0,1452891178000,140,,,tech,,0
420,Python Users Berlin (PUB),Berlin,DE,4.66,1352071340000,1408,,,tech,,0
421,Backend Web Berlin,Berlin,DE,4.58,1357988294000,717,,,tech,,0
422,PyLadies Berlin,Berlin,DE,4.73,1369394827000,392,,,tech,,0
423,Django User Group Berlin (djub),Berlin,DE,4.75,1369857361000,599,,,tech,,0
424,Geek2Geek - Berlin Tech Talk,Berlin,DE,4.88,1373355129000,602,,,tech,,0
425,Raspberry Pi Berlin,Berlin,DE,4.75,1383225747000,337,,,tech,,0
426,PyData Berlin,Berlin,DE,4.41,1393611306000,905,,,tech,,0
427,Python Big Data Analytics,Berlin,DE,3.79,1397727469000,315,,,tech,,0
428,Crate.IO Usergroup Berlin,Berlin,DE,4,1402473434000,57,,,tech,,0
429,PySprints,Berlin,DE,4.44,1406617255000,74,,,tech,,0
430,"RhodeCode User Group, Berlin",Berlin,DE,0,1410375227000,16,,,tech,,0
431,Berlin Odoo Meetup,Berlin,DE,5,1417175569000,72,,,tech,,0
432,FlashHacks Berlin: Open Data For Good,Berlin,DE,5,1426616938000,174,,,tech,,0
433,Zalando Tech Events Berlin,Berlin,DE,4.11,1430747678000,1557,,,tech,,0
434,Women Who Code Berlin,Berlin,DE,4.69,1430766691000,698,,,tech,,0
435,Co-Learning Day,Berlin,DE,0,1434215597000,49,,,tech,,0
436,More Micro Modules,Berlin,DE,0,1441304250000,50,,,tech,,0
437,coders4help Berlin,Berlin,DE,5,1442652960000,98,,,tech,,0
438,Berlin New Relic User Group,Berlin,DE,0,1443195851000,50,,,tech,,0
439,IoT Innovation Lab,Berlin,DE,4.31,1447081560000,379,,,tech,,0
440,Python User Group Hamburg,Hamburg,DE,4.75,1349678647000,343,,,tech,,0
441,Django User Group Hamburg,Hamburg,DE,4.81,1359991202000,132,,,tech,,0
442,Lunchtastic Hamburg,Hamburg,DE,5,1451652780000,87,,,tech,,0
443,München MongoDB User Group,München,DE,4.71,1308160264000,544,,,tech,,0
444,Hadoop User Group Munich (HUG Muenchen),München,DE,4.63,1344862215000,814,,,tech,,0
445,Women Who Code München,München,DE,0,1396522233000,97,,,tech,,0
446,München (Python|Data),München,DE,4.78,1406460059000,449,,,tech,,0
447,PyLadies Munich,München,DE,4.72,1416476571000,167,,,tech,,0
448,Ansible München,München,DE,4.5,1434300153000,127,,,tech,,0
449,PyMunich,München,DE,5,1435577493000,173,,,tech,,0
450,München Odoo Meetup,München,DE,0,1447665804000,13,,,tech,,0
451,Py­thon User ­Group Rhein-­Main,Frankfurt,DE,4.67,1410528495000,254,,,tech,,0
452,Ansible Frankfurt,Frankfurt,DE,0,1439176938000,37,,,tech,,0
453,Arista Networks Germany User Group,Frankfurt,DE,0,1449497410000,19,,,tech,,0
454,PyLadies Frankfurt,Frankfurt,DE,0,1451051052000,20,,,tech,,0
455,Ansible Stuttgart,Stuttgart,DE,0,1438690338000,73,,,tech,,0
456,Python User Group Köln,Köln,DE,4.5,1358105278000,149,,,tech,,0
457,Düsseldorf Data Science Meetup,Düsseldorf,DE,4.89,1437836178000,310,,,tech,,0
458,Django Girls Cologne - Programmieren für Frauen und Mädchen,Köln,DE,5,1445853761000,29,,,tech,,0
459,PyData Cologne,Köln,DE,0,1448991110000,47,,,tech,,0
460,Köln GraphLab Users,Köln,DE,0,1453580405000,27,,,tech,,0
